id,name,description,is_toxic,harvest_duration,sunlight,planting_time,plant_category_id,climate_condition,plant_characteristic_id,created_at,updated_at,additional_tips
<<<<<<< HEAD
61,Rafflesia-Rafflesiaceae,Bunga Langka,1,6,Partsun,Autumn,11,Wet,0,2024-06-17 08:00:05.709,2024-06-22 04:22:57.720,Tipsnya ya gituu
62,Tomato-Solanaceae,"Tomatoes are a warm-season vegetable that grows on vines and produces red, juicy fruits commonly used in cooking and salads,Thanks.",0,3,Fullsun,Spring,1,Dry,0,2024-06-18 02:19:10.655,2024-06-22 11:48:22.353,Support plants with stakes or cages to prevent them from falling over.  Rotate crops each year to avoid soil-borne diseases.  
63,Lavender - Lamiaceae,"Lavender is a fragrant herb known for its aromatic purple flowers and is commonly used in perfumes, sachets, and aromatherapy.",0,6,Fullsun,Summer,7,Dry,0,2024-06-18 02:38:23.623,2024-06-22 11:44:05.142,Mulch around plants to retain moisture and control weeds.  Avoid overhead watering to prevent fungal diseases.  
64,Basil - Lamiaceae,Basil is a popular herb used in many cuisines for its aromatic leaves. It grows well in warm climates and is often found in kitchen gardens.,0,1,Partsun,Spring,5,Wet,0,2024-06-18 02:53:10.666,2024-06-22 11:42:36.847,"Regularly pinch off flower buds to prolong the harvesting period of the leaves.  Basil grows well in pots, making it suitable for small spaces or balconies.  "
65,Strawberry - Rosaceae,"Strawberries are perennial plants known for their sweet, juicy fruits and are often grown in gardens or containers.",0,3,Shade,Spring,1,Dry,0,2024-06-18 04:11:31.777,2024-06-20 09:36:10.435,Provide good air circulation to prevent fungal diseases.Protect plants from birds with netting or scare tactics.
69,Rose - Rosaceae,"Roses are ornamental flowering plants known for their beautiful and fragrant blooms, available in various colors and types.",0,6,Fullsun,Spring,7,Wet,0,2024-06-18 05:33:37.917,2024-06-18 05:33:37.917,Mulch around roses to retain moisture and suppress weeds.Provide support for climbing roses with trellises or stakes.
75,Cucumber - Cucurbitaceae,"Cucumbers are climbing plants known for their refreshing fruits used in salads, pickles, or as snacks. They thrive in the summer season and require ample sunlight.",0,3,Fullsun,Spring,1,Wet,0,2024-06-18 06:04:39.375,2024-06-22 04:06:35.877,"Provide support for climbing plants, such as wires or trellises.Monitor soil moisture and avoid waterlogging to reduce disease risks."
76,Geranium - Geraniaceae,"Geraniums are flowering plants known for their vibrant blooms and attractive foliage, often used in gardens and as ornamental houseplants.",0,3,Partsun,Spring,15,Wet,0,2024-06-18 08:00:50.598,2024-06-22 04:09:49.657,Provide afternoon shade during hot summer months to prevent stress and maintain flower quality.Overwinter geraniums indoors in colder climates or treat as annuals.
77,Orchid - Orchidaceae,Orchids are exotic flowering plants known for their intricate blooms and diverse species found in tropical and subtropical regions worldwide.,0,3,Shade,Spring,15,Dry,0,2024-06-18 08:18:24.765,2024-06-20 18:04:55.058,Provide adequate air circulation around orchids to prevent fungal diseases.Repot orchids every 1-2 years or when the potting medium breaks down.
78,Lemon - Rutaceae,"Lemon trees are citrus plants known for their sour yellow fruits used in culinary dishes, beverages, and as a source of vitamin C.",0,9,Fullsun,Spring,1,Dry,0,2024-06-18 08:35:56.737,2024-06-18 08:35:56.737,Protect young lemon trees from frost by covering them with blankets or using frost cloth.Mulch around the base of the tree to conserve moisture and suppress weeds.
79,Mango Tree - Anacardiaceae,"Mango trees are tropical fruit trees known for their juicy, sweet fruits enjoyed fresh, in salads, or as ingredients in various dishes.",0,12,Fullsun,Spring,1,Dry,0,2024-06-18 09:05:40.900,2024-06-18 09:05:40.900,Protect young mango trees from frost by covering them with blankets or using frost cloth.Mulch around the base of the tree to conserve moisture and suppress weeds.
80,Aloe Vera - Xanthorrhoeaceae,"Aloe Vera is a succulent plant known for its medicinal gel-filled leaves used in skincare, cosmetics, and traditional medicine.",0,12,Fullsun,Summer,2,Dry,0,2024-06-18 09:17:12.628,2024-06-20 08:12:58.051,Aloe Vera thrives indoors near a sunny window but can also be grown outdoors in warm climates.Allow the cut ends of leaves to dry before watering to prevent rot.
81,Alang alang-Imperata cylindrica,Anggap aja Rumput lah,0,1,Fullsun,Summer,15,Dry,0,2024-06-18 10:23:26.436,2024-06-18 10:23:26.436,"itu tumbuhan liar, biarin aja"
85,alang alang-Poaceae,"Alang-alang adalah rumput perennial yang sering ditemukan di daerah tropis dan subtropis. Tumbuhan ini memiliki daun yang panjang, sempit, dan tajam dengan tepi yang kasar. Panjang daun dapat mencapai hingga 1,2 meter. Bunga alang-alang berbentuk bulir dan berwarna putih keperakan, sering kali terlihat mengumpul di bagian atas batang.",0,1,Fullsun,Summer,15,Dry,0,2024-06-18 12:00:40.759,2024-06-18 12:00:40.759,biarkan saja karena akan tumbuh dengan sendirinya
86,Chili-Capsicum ,"""Cabe"" is a term that typically refers to chili peppers or hot peppers in Indonesian, Malaysian, and some other Southeast Asian languages. In botanical terms, chili peppers belong to the genus Capsicum and are members of the Solanaceae family, which includes other plants like tomatoes, potatoes, and eggplants.",0,1,Partsun,Summer,1,Dry,0,2024-06-18 12:06:51.921,2024-06-20 08:17:12.042,"Planting chili peppers (capsicum) successfully involves several key steps and considerations. Here are some tips and instructions for planting chili peppers:1. Choose the Right Variety:Select chili pepper varieties that are suitable for your climate and growing conditions. Consider factors such as heat tolerance, disease resistance, and the desired level of spiciness.2. Timing:Indoor Seed Starting: Start chili pepper seeds indoors 6-8 weeks before the last expected frost date in your area. Use seed trays or pots filled with a well-draining seed starting mix.Outdoor Planting: Transplant chili pepper seedlings outdoors after all danger of frost has passed and the soil has warmed up, usually in spring or early summer.3. Location:Choose a sunny spot for planting chili peppers. They thrive in full sunlight, ideally receiving at least 6-8 hours of direct sunlight daily.4. Soil Preparation:Ensure the soil is well-draining and fertile. Amend heavy clay soils with organic matter like compost to improve drainage and nutrient availability.5. Planting Depth and Spacing:Plant chili pepper seedlings at the same depth they were growing in their containers. Space plants 12-18 inches apart in rows spaced 18-24 inches apart, depending on the variety's mature size.6. Watering:Water chili pepper plants thoroughly immediately after planting. Maintain consistent soil moisture throughout the growing season, especially during flowering and fruiting stages.7. Mulching:Apply a layer of mulch around chili pepper plants to help retain soil moisture, suppress weeds, and regulate soil temperature. Organic mulches like straw or shredded leaves work well.8. Fertilization:Incorporate a balanced fertilizer into the soil at planting time or use a diluted liquid fertilizer periodically throughout the growing season. Avoid excessive nitrogen, which can promote foliage growth over fruit production.9. Support (if needed):Some chili pepper varieties may benefit from staking or support cages, especially if they produce heavy fruits or grow tall. Install supports early to avoid damaging roots later.10. Pest and Disease Management:Monitor plants regularly for signs of pests such as aphids or diseases such as fungal infections. Use organic pest control methods or treatments as needed to protect plants.11. Harvesting:Harvest chili peppers when they reach their mature color and size. Use scissors or pruning shears to cut peppers from the plant to avoid damaging stems."
87,Alang Alang - Imperata cylindrica,"Alang-alang adalah rumput perennial yang sering ditemukan di daerah tropis dan subtropis. Tumbuhan ini memiliki daun yang panjang, sempit, dan tajam dengan tepi yang kasar. Panjang daun dapat mencapai hingga 1,2 meter. Bunga alang-alang berbentuk bulir dan berwarna putih keperakan, sering kali terlihat mengumpul di bagian atas batang.",0,1,Fullsun,Summer,15,Dry,0,2024-06-18 12:16:46.136,2024-06-18 12:16:46.136,Alang-alang thrives in full sunlight but can tolerate partial shade. Ensure it gets at least 6 hours of direct sunlight daily.
93,Rosemary - Lamiaceae,"Rosemary is an aromatic herb with needle-like leaves and blue flowers, commonly used in culinary and medicinal applications.",0,9,Fullsun,Spring,5,Dry,0,2024-06-18 15:38:44.498,2024-06-18 15:38:44.498,Protect from frost in colder climates or bring indoors during winter.Use well-draining containers for indoor rosemary to prevent root rot.
94,Sunflower - Asteraceae,"Sunflowers are tall flowering plants with large, daisy-like flower heads that track the sun. They are grown for their seeds and as ornamental plants.",0,3,Fullsun,Spring,12,Dry,0,2024-06-18 15:55:52.747,2024-06-20 08:11:24.179,Deadhead spent flowers to encourage continuous blooming.Protect young sunflower plants from slugs and snails.
108,Carrot-Daucus,"Tulips are spring-blooming perennials with bulbous roots. They produce large, colorful flowers that are popular in gardens and as cut flowers. Tulips come in many colors and patterns.",0,3,Fullsun,Summer,1,Dry,0,2024-06-19 06:14:21.733,2024-06-22 04:23:50.440,Thin seedlings to prevent overcrowding and ensure straight roots.
134,Durian-Malvaceae,"Durian is known as the ""king of fruits"" in Southeast Asia due to its delicious taste and texture, although its strong aroma can be a distinctive feature for some people. This fruit also has high nutritional value, containing vitamins, minerals, and fiber that are beneficial for health.",1,12,Fullsun,Winter,4,Wet,0,2024-06-19 12:05:37.742,2024-06-19 12:05:37.742,"Choose a planting site with full sunlight exposure, as durian plants thrive in sunny conditions.Space durian trees adequately according to their mature size, typically 8 to 10 meters apart, to allow for proper growth and development.Dig a planting hole that is wide and deep enough to accommodate the root system without bending or crowding the roots.Backfill the planting hole with a mixture of compost and native soil to provide nutrients and encourage healthy root establishment.Water the newly planted durian tree thoroughly to settle the soil and remove any air pockets around the roots.Mulch around the base of the tree with organic mulch like wood chips or straw to retain moisture, suppress weeds, and regulate soil temperature.Install a support structure if necessary to help young durian trees withstand strong winds and maintain an upright growth habit.Monitor the water needs of the durian tree, especially during dry periods, and adjust watering frequency accordingly to keep the soil consistently moist but not waterlogged.Apply a balanced fertilizer specifically formulated for fruit trees according to the recommended dosage and schedule to promote healthy growth and fruit production.Prune the durian tree as needed to remove dead or diseased branches, improve airflow, and shape the canopy for optimal sunlight exposure and fruit development.Keep an eye out for pests and diseases, and promptly address any issues to prevent damage to the durian tree and its fruits.Regularly monitor the overall health and growth of the durian tree, and provide ongoing care and maintenance as needed to ensure a bountiful harvest of delicious durian fruits."
165,Cactus - Cactaceae,"Cactus are drought-tolerant plants known for their thick, fleshy stems and ability to store water, often featuring spines and vibrant flowers.",0,6,Fullsun,Summer,2,Dry,0,2024-06-20 17:38:27.218,2024-06-20 17:38:27.218,Avoid overwatering to prevent root rot.Handle cacti with care to avoid injury from spines.
166,test-c update,test,1,0,Fullsun,Summer,1,Dry,0,2024-06-21 03:27:19.407,2024-06-21 07:26:59.629,test
=======
61,Rafflesia-Rafflesiaceae,Bunga Langka banget,1,6,Partsun,Autumn,11,Wet,0,2024-06-17 08:00:05.709,2024-06-27 00:41:08.771,Tipsnya ya gituu
63,Lavender - Lamiaceae update,"Lavender is a fragrant herb known for its aromatic purple flowers and is commonly used in perfumes, sachets, and aromatherapy.",0,6,Fullsun,Summer,7,Dry,0,2024-06-18 02:38:23.623,2024-06-24 07:29:46.389,Mulch around plants to retain moisture and control weeds.  Avoid overhead watering to prevent fungal diseases.  
64,Basil - Lamiaceae,Basil is a popular herb used in many cuisines for its aromatic leaves. It grows well in warm climates and is often found in kitchen gardens.,0,1,Partsun,Spring,5,Wet,0,2024-06-18 02:53:10.666,2024-06-24 02:39:41.415,"Regularly pinch off flower buds to prolong the harvesting period of the leaves.  Basil grows well in pots, making it suitable for small spaces or balconies.  "
65,Strawberry - Rosaceae,"Strawberries are perennial plants known for their sweet, juicy fruits and are often grown in gardens or containers.",0,3,Shade,Spring,1,Dry,0,2024-06-18 04:11:31.777,2024-06-23 06:27:27.736,Provide good air circulation to prevent fungal diseases.Protect plants from birds with netting or scare tactics.
69,Rose - Rosaceae,"Roses are ornamental flowering plants known for their beautiful and fragrant blooms, available in various colors and types.",0,6,Fullsun,Spring,7,Wet,0,2024-06-18 05:33:37.917,2024-06-23 06:28:20.706,Mulch around roses to retain moisture and suppress weeds.Provide support for climbing roses with trellises or stakes.
75,Cucumber - Cucurbitaceae,"Cucumbers are climbing plants known for their refreshing fruits used in salads, pickles, or as snacks. They thrive in the summer season and require ample sunlight.",0,3,Fullsun,Spring,1,Wet,0,2024-06-18 06:04:39.375,2024-06-23 06:33:58.509,"Provide support for climbing plants, such as wires or trellises.Monitor soil moisture and avoid waterlogging to reduce disease risks."
76,Geranium - Geraniaceae,"Geraniums are flowering plants known for their vibrant blooms and attractive foliage, often used in gardens and as ornamental houseplants.",0,3,Partsun,Spring,15,Wet,0,2024-06-18 08:00:50.598,2024-06-23 06:35:56.712,Provide afternoon shade during hot summer months to prevent stress and maintain flower quality.Overwinter geraniums indoors in colder climates or treat as annuals.
77,Orchid - Orchidaceae,Orchids are exotic flowering plants known for their intricate blooms and diverse species found in tropical and subtropical regions worldwide.,0,3,Shade,Spring,15,Dry,0,2024-06-18 08:18:24.765,2024-06-20 18:04:55.058,Provide adequate air circulation around orchids to prevent fungal diseases.Repot orchids every 1-2 years or when the potting medium breaks down.
78,Lemon - Rutaceae,"Lemon trees are citrus plants known for their sour yellow fruits used in culinary dishes, beverages, and as a source of vitamin C.",0,9,Fullsun,Spring,1,Dry,0,2024-06-18 08:35:56.737,2024-06-23 06:37:35.611,Protect young lemon trees from frost by covering them with blankets or using frost cloth.Mulch around the base of the tree to conserve moisture and suppress weeds.
79,Mango Tree - Anacardiaceae,"Mango trees are tropical fruit trees known for their juicy, sweet fruits enjoyed fresh, in salads, or as ingredients in various dishes.",0,12,Fullsun,Spring,1,Dry,0,2024-06-18 09:05:40.900,2024-06-23 06:44:54.936,Protect young mango trees from frost by covering them with blankets or using frost cloth.Mulch around the base of the tree to conserve moisture and suppress weeds.
80,Aloe Vera - Xanthorrhoeaceae update,"Aloe Vera is a succulent plant known for its medicinal gel-filled leaves used in skincare, cosmetics, and traditional medicine.",0,12,Fullsun,Summer,2,Dry,0,2024-06-18 09:17:12.628,2024-06-26 14:09:04.035,Aloe Vera thrives indoors near a sunny window but can also be grown outdoors in warm climates.Allow the cut ends of leaves to dry before watering to prevent rot.
81,Alang alang-Imperata cylindrica,Anggap aja Rumput lah,0,1,Fullsun,Summer,15,Dry,0,2024-06-18 10:23:26.436,2024-06-23 06:48:58.824,"itu tumbuhan liar, biarin aja"
85,alang alang-Poaceae,"Alang-alang adalah rumput perennial yang sering ditemukan di daerah tropis dan subtropis. Tumbuhan ini memiliki daun yang panjang, sempit, dan tajam dengan tepi yang kasar. Panjang daun dapat mencapai hingga 1,2 meter. Bunga alang-alang berbentuk bulir dan berwarna putih keperakan, sering kali terlihat mengumpul di bagian atas batang.",0,1,Fullsun,Summer,15,Dry,0,2024-06-18 12:00:40.759,2024-06-23 06:57:13.245,biarkan saja karena akan tumbuh dengan sendirinya
86,Chili-Capsicum ,"""Cabe"" is a term that typically refers to chili peppers or hot peppers in Indonesian, Malaysian, and some other Southeast Asian languages. In botanical terms, chili peppers belong to the genus Capsicum and are members of the Solanaceae family, which includes other plants like tomatoes, potatoes, and eggplants.",0,1,Partsun,Summer,1,Dry,0,2024-06-18 12:06:51.921,2024-06-20 08:17:12.042,"Planting chili peppers (capsicum) successfully involves several key steps and considerations. Here are some tips and instructions for planting chili peppers:1. Choose the Right Variety:Select chili pepper varieties that are suitable for your climate and growing conditions. Consider factors such as heat tolerance, disease resistance, and the desired level of spiciness.2. Timing:Indoor Seed Starting: Start chili pepper seeds indoors 6-8 weeks before the last expected frost date in your area. Use seed trays or pots filled with a well-draining seed starting mix.Outdoor Planting: Transplant chili pepper seedlings outdoors after all danger of frost has passed and the soil has warmed up, usually in spring or early summer.3. Location:Choose a sunny spot for planting chili peppers. They thrive in full sunlight, ideally receiving at least 6-8 hours of direct sunlight daily.4. Soil Preparation:Ensure the soil is well-draining and fertile. Amend heavy clay soils with organic matter like compost to improve drainage and nutrient availability.5. Planting Depth and Spacing:Plant chili pepper seedlings at the same depth they were growing in their containers. Space plants 12-18 inches apart in rows spaced 18-24 inches apart, depending on the variety's mature size.6. Watering:Water chili pepper plants thoroughly immediately after planting. Maintain consistent soil moisture throughout the growing season, especially during flowering and fruiting stages.7. Mulching:Apply a layer of mulch around chili pepper plants to help retain soil moisture, suppress weeds, and regulate soil temperature. Organic mulches like straw or shredded leaves work well.8. Fertilization:Incorporate a balanced fertilizer into the soil at planting time or use a diluted liquid fertilizer periodically throughout the growing season. Avoid excessive nitrogen, which can promote foliage growth over fruit production.9. Support (if needed):Some chili pepper varieties may benefit from staking or support cages, especially if they produce heavy fruits or grow tall. Install supports early to avoid damaging roots later.10. Pest and Disease Management:Monitor plants regularly for signs of pests such as aphids or diseases such as fungal infections. Use organic pest control methods or treatments as needed to protect plants.11. Harvesting:Harvest chili peppers when they reach their mature color and size. Use scissors or pruning shears to cut peppers from the plant to avoid damaging stems."
87,Alang Alang - Imperata cylindrica,"Alang-alang adalah rumput perennial yang sering ditemukan di daerah tropis dan subtropis. Tumbuhan ini memiliki daun yang panjang, sempit, dan tajam dengan tepi yang kasar. Panjang daun dapat mencapai hingga 1,2 meter. Bunga alang-alang berbentuk bulir dan berwarna putih keperakan, sering kali terlihat mengumpul di bagian atas batang.",0,1,Fullsun,Summer,15,Dry,0,2024-06-18 12:16:46.136,2024-06-23 06:58:33.233,Alang-alang thrives in full sunlight but can tolerate partial shade. Ensure it gets at least 6 hours of direct sunlight daily.
93,Rosemary - Lamiaceae,"Rosemary is an aromatic herb with needle-like leaves and blue flowers, commonly used in culinary and medicinal applications.",0,9,Fullsun,Spring,5,Dry,0,2024-06-18 15:38:44.498,2024-06-23 07:05:15.112,Protect from frost in colder climates or bring indoors during winter.Use well-draining containers for indoor rosemary to prevent root rot.
94,Sunflower - Asteraceae,"Sunflowers are tall flowering plants with large, daisy-like flower heads that track the sun. They are grown for their seeds and as ornamental plants.",0,3,Fullsun,Spring,12,Dry,0,2024-06-18 15:55:52.747,2024-06-20 08:11:24.179,Deadhead spent flowers to encourage continuous blooming.Protect young sunflower plants from slugs and snails.
108,Carrot-Daucus,"Tulips are spring-blooming perennials with bulbous roots. They produce large, colorful flowers that are popular in gardens and as cut flowers. Tulips come in many colors and patterns.",0,3,Fullsun,Summer,1,Dry,0,2024-06-19 06:14:21.733,2024-06-22 04:23:50.440,Thin seedlings to prevent overcrowding and ensure straight roots.
134,Durian-Malvaceae,"Durian is known as the ""king of fruits"" in Southeast Asia due to its delicious taste and texture, although its strong aroma can be a distinctive feature for some people. This fruit also has high nutritional value, containing vitamins, minerals, and fiber that are beneficial for health.",1,12,Fullsun,Winter,4,Wet,0,2024-06-19 12:05:37.742,2024-06-23 07:08:08.707,"Choose a planting site with full sunlight exposure, as durian plants thrive in sunny conditions.Space durian trees adequately according to their mature size, typically 8 to 10 meters apart, to allow for proper growth and development.Dig a planting hole that is wide and deep enough to accommodate the root system without bending or crowding the roots.Backfill the planting hole with a mixture of compost and native soil to provide nutrients and encourage healthy root establishment.Water the newly planted durian tree thoroughly to settle the soil and remove any air pockets around the roots.Mulch around the base of the tree with organic mulch like wood chips or straw to retain moisture, suppress weeds, and regulate soil temperature.Install a support structure if necessary to help young durian trees withstand strong winds and maintain an upright growth habit.Monitor the water needs of the durian tree, especially during dry periods, and adjust watering frequency accordingly to keep the soil consistently moist but not waterlogged.Apply a balanced fertilizer specifically formulated for fruit trees according to the recommended dosage and schedule to promote healthy growth and fruit production.Prune the durian tree as needed to remove dead or diseased branches, improve airflow, and shape the canopy for optimal sunlight exposure and fruit development.Keep an eye out for pests and diseases, and promptly address any issues to prevent damage to the durian tree and its fruits.Regularly monitor the overall health and growth of the durian tree, and provide ongoing care and maintenance as needed to ensure a bountiful harvest of delicious durian fruits."
165,Cactus - Cactaceae,"Cactus are drought-tolerant plants known for their thick, fleshy stems and ability to store water, often featuring spines and vibrant flowers.",0,6,Fullsun,Summer,2,Dry,0,2024-06-20 17:38:27.218,2024-06-20 17:38:27.218,Avoid overwatering to prevent root rot.Handle cacti with care to avoid injury from spines.
166,test-c update,test,1,0,Fullsun,Summer,1,Dry,0,2024-06-21 03:27:19.407,2024-06-21 07:26:59.629,test
172,Rose TESTING,Rose is Flowers,1,90,Fullsun,Summer,1,Dry,0,2024-06-23 16:21:07.336,2024-06-23 16:21:07.336,Add tips instruction
178,Rose test persentasi BE,Rose is Flowers,1,90,Fullsun,Summer,1,Dry,0,2024-06-27 06:59:07.474,2024-06-27 06:59:07.474,Add tips instruction
179,Cemara test persentasi BE,Rose is Flowers,1,90,Fullsun,Summer,1,Dry,0,2024-06-27 07:07:55.147,2024-06-27 07:07:55.147,Add tips instruction
>>>>>>> 38e78ae (Add README.md)
