plant_instruction_id,name_instruction_categories,step_number,step_title,step_description,step_image_url,additional_tips,created_at,updated_at
<<<<<<< HEAD
121,Soil Preparation,1,Preparing the Soil,Use well-draining soil rich in organic matter. Incorporate compost and bone meal for nutrients.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718688814/be-agriculture/nqjnlhui2d0nkfdsaqpn.png,-,2024-06-18 05:33:37.917,2024-06-18 05:33:37.917
122,Planting Seeds,2,Planting Rose Cuttings,Plant rose cuttings in prepared soil. Ensure the node is below soil level for rooting.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718688815/be-agriculture/upyi7rmtir7zylr1oxfb.png,-,2024-06-18 05:33:37.917,2024-06-18 05:33:37.917
123,Plant Care,3,Rose Care,Water deeply to saturate the roots. Avoid overhead watering.Use a balanced rose fertilizer during the growing season.Prune in late winter to early spring for shape and remove dead wood.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718688815/be-agriculture/gihmbjuy93sdtjvhyjir.png,-,2024-06-18 05:33:37.917,2024-06-18 05:33:37.917
124,Harvest,4,Harvesting Roses,Harvest roses as blooms open fully. Cut stems at a diagonal for longer vase life.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718688816/be-agriculture/qu78op25hf9hg4rhhclq.png,-,2024-06-18 05:33:37.917,2024-06-18 05:33:37.917
157,Soil Preparation,1,Preparation the Soil,Plant lemon trees in well-draining soil enriched with organic matter. Ensure soil pH is slightly acidic to neutral.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718699752/be-agriculture/nqp42oksharmwsqdotz0.png,-,2024-06-18 08:35:56.737,2024-06-18 08:35:56.737
158,Planting Seeds,2,Planting Lemon Tree from Seed, Start lemon trees from seeds indoors or directly in the ground. Plant seeds 1 inch deep in moist soil and keep them warm until germination.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718699753/be-agriculture/mvpzix448dr3hc7o7ado.png,-,2024-06-18 08:35:56.737,2024-06-18 08:35:56.737
159,Plant Care,3,Lemon Tree Care,"Water deeply but infrequently, allowing the top 2 inches of soil to dry out between waterings.Apply a balanced citrus fertilizer every 6-8 weeks during the growing season to promote healthy growth and fruit production.Prune lemon trees in late winter to early spring to remove dead or diseased branches and promote air circulation.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718699753/be-agriculture/pxvgxtmpwvfbq0qic2jy.png,-,2024-06-18 08:35:56.737,2024-06-18 08:35:56.737
160,Harvest,4,Harvesting Lemons,Harvest lemons when they are fully yellow and firm. Cut or twist fruits from the tree carefully to avoid damaging the branches.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718699754/be-agriculture/miwqx9h7cwycu0q2gv0p.png,-,2024-06-18 08:35:56.737,2024-06-18 08:35:56.737
161,Soil Preparation,1,Preparating the Soil,Plant mango trees in well-draining soil enriched with organic matter. Ensure soil pH is slightly acidic to neutral.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718701537/be-agriculture/qhdezjwswcr2lj7gup67.png,-,2024-06-18 09:05:40.900,2024-06-18 09:05:40.900
162,Planting Seeds,2,Planting Mango Tree ,Choose a sunny location with protection from strong winds. Dig a hole twice as wide as the root ball and plant at the same level as in the nursery pot.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718701538/be-agriculture/g9b1hwkcd8zcb0zqbmdh.png,-,2024-06-18 09:05:40.900,2024-06-18 09:05:40.900
163,Plant Care,3,Mango Tree Care,"Water deeply but infrequently, allowing the top 2 inches of soil to dry out between waterings.Apply a balanced fertilizer formulated for fruit trees every 6-8 weeks during the growing season to promote healthy growth and fruit production.Prune mango trees in late winter to early spring to remove dead or diseased branches and promote air circulation.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718701539/be-agriculture/cb1rz5dhs9xygwrvtitc.png,-,2024-06-18 09:05:40.900,2024-06-18 09:05:40.900
164,Harvest,4,Harvesting Mangoes,Harvest mangoes when they are fully ripe and have developed their characteristic color and aroma. Use a pole picker or hand pick them carefully to avoid damaging the fruit or tree.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718701539/be-agriculture/tmu0osrmntlhllpyegob.png,-,2024-06-18 09:05:40.900,2024-06-18 09:05:40.900
169,Planting Seeds,1,gk tau,biarkan tumbuh secara alami,-,-,2024-06-18 10:23:26.436,2024-06-18 10:23:26.436
173,Plant Care,1,Cara Merawat,Biarkan terkena matahari sepanjang hari dan berikan air secukupnya,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718712039/be-agriculture/qkz0kkkhcgxgbr51wysb.jpg,-,2024-06-18 12:00:40.759,2024-06-18 12:00:40.759
175,Plant Care,1,-,How to care for Alang-Alang,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718713005/be-agriculture/lvw9dseb6w8kwrkkqxin.jpg,-,2024-06-18 12:16:46.136,2024-06-18 12:16:46.136
181,Soil Preparation,1,Preparing the Soil,Use well-draining soil with sand or gravel for added drainage.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718725121/be-agriculture/epksr8ssz0mtbjv12ln3.png,-,2024-06-18 15:38:44.498,2024-06-18 15:38:44.498
182,Planting Seeds,2,Planting Rosemary Cuttings,Plant rosemary cuttings in a sunny location with well-draining soil. Keep soil consistently moist until roots establish.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718725121/be-agriculture/nop6tkkiidwxsoeu4rfi.png,-,2024-06-18 15:38:44.498,2024-06-18 15:38:44.498
183,Plant Care,3,Rosemary Plant Care,"Water sparingly once established, allowing soil to dry out between waterings.  Prune lightly to maintain shape and promote new growth.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718725122/be-agriculture/y28nv9fort3mytmx6q17.png,-,2024-06-18 15:38:44.498,2024-06-18 15:38:44.498
184,Harvest,4,Harvesting Rosemary,Harvest sprigs as needed throughout the year. Cut stems just above a leaf node.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718725123/be-agriculture/tgfqarjs4bjew2ejpif1.png,-,2024-06-18 15:38:44.498,2024-06-18 15:38:44.498
276,Soil Preparation,1,Soil Preparation,Ensure that the soil is well-draining and rich in organic matter.Remove any weeds or debris from the planting area.Incorporate compost or aged manure into the soil to improve fertility.Test the soil pH and make adjustments if necessary to ensure it is within the optimal range for durian cultivation.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718798735/be-agriculture/cdazokibcnsoeuu6fadp.jpg,-,2024-06-19 12:05:37.742,2024-06-19 12:05:37.742
=======
>>>>>>> 38e78ae (Add README.md)
381,Soil Preparation,1,Preparing the Soil,Choose well-draining soil with added compost for fertility. ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871080/be-agriculture/ytxihbusipj0tftmgmf0.png,-,2024-06-20 08:11:24.175,2024-06-20 08:11:24.175
382,Planting Seeds,2,Planting Sunflowers Seeds,Directly sow sunflower seeds outdoors after the last frost date. Plant seeds 1 inch deep and 6 inches apart.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871081/be-agriculture/mrueymxvvqh7gee5cjmz.png,-,2024-06-20 08:11:24.175,2024-06-20 08:11:24.175
383,Plant Care,3,Sunflower Plant care,"Water deeply once a week, ensuring soil stays moist but not waterlogged.  Stake tall varieties to prevent wind damage.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871082/be-agriculture/errcqf2huweqplkvismb.png,-,2024-06-20 08:11:24.175,2024-06-20 08:11:24.175
384,Harvest,4,Harvesting Sunflowers,Harvest sunflower heads when petals wilt and seeds begin to develop. Cut stems with sharp pruners or scissors.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871083/be-agriculture/ceh7bv0uzsl7p8jo5hl9.png,-,2024-06-20 08:11:24.175,2024-06-20 08:11:24.175
<<<<<<< HEAD
385,Soil Preparation,1,Preparating the Soil,Plant Aloe Vera in well-draining sandy or cactus mix soil to prevent waterlogging.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871173/be-agriculture/hd6lvdyxlb2dn5bdtex0.png,-,2024-06-20 08:12:58.047,2024-06-20 08:12:58.047
386,Planting Seeds,2,Planting seed Aloe Vera,Start Aloe Vera from seeds indoors or directly in the ground. Plant seeds 1/4 inch deep in a well-draining soil mix.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871174/be-agriculture/eynknrcoma7eob36kclu.png,-,2024-06-20 08:12:58.047,2024-06-20 08:12:58.047
387,Plant Care,3,Aloe Vera Care,"Water Aloe Vera deeply but infrequently, allowing the soil to dry out completely between waterings.Use a diluted succulent fertilizer monthly during the growing season to support healthy leaf growth.Repot Aloe Vera every 2-3 years to refresh the soil and accommodate new growth.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871175/be-agriculture/tzkrvmrf3eybcraj8zzz.png,-,2024-06-20 08:12:58.047,2024-06-20 08:12:58.047
388,Harvest,4,Harvesting Aloe Vera,Harvest mature leaves as needed by cutting them close to the base of the plant. Use a sharp knife to avoid damaging the plant.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871176/be-agriculture/is3u2ennx0no549sggc7.png,-,2024-06-20 08:12:58.047,2024-06-20 08:12:58.047
389,Soil Preparation,1,Preparing the Soil,Use fertile soil with good drainage. Incorporate compost to improve soil fertility.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871431/be-agriculture/ec0ownu3kzvhamk2mxlm.jpg,-,2024-06-20 08:17:12.036,2024-06-20 08:17:12.036
391,Soil Preparation,1,Preparing the Soil,Prepare well-draining soil rich in organic matter. Add compost and mix thoroughly to a depth of 20 cm.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718876166/be-agriculture/ipiqqv6nbh6muqrhnevn.png,-,2024-06-20 09:36:10.429,2024-06-20 09:36:10.429
392,Planting Seeds,2,Planting Strawberry Runners,Plant strawberry runners in early spring or late summer. Ensure roots are spread out and covered with soil.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718876167/be-agriculture/oq5uknuqurfar2bvx0np.png,-,2024-06-20 09:36:10.429,2024-06-20 09:36:10.429
393,Plant Care,3,Strawberry Plant Care,Water regularly to keep soil evenly moist.  Use a balanced fertilizer high in phosphorus before flowering.  Mulch around plants to retain moisture and suppress weeds.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718876167/be-agriculture/aeczoiobbneciul5pupr.png,-,2024-06-20 09:36:10.429,2024-06-20 09:36:10.429
394,Harvest,4,Harvesting Strawberries,Harvest ripe strawberries by gently twisting them off the stem. Pick in the morning for the best flavor.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718876168/be-agriculture/zzcb6mtpn7z4bazlhvm6.png,-,2024-06-20 09:36:10.429,2024-06-20 09:36:10.429
=======
389,Soil Preparation,1,Preparing the Soil,Use fertile soil with good drainage. Incorporate compost to improve soil fertility.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871431/be-agriculture/ec0ownu3kzvhamk2mxlm.jpg,-,2024-06-20 08:17:12.036,2024-06-20 08:17:12.036
>>>>>>> 38e78ae (Add README.md)
406,Soil Preparation,1,Preparing the Soil,"Plant cacti in well-draining soil, such as a cactus mix or sandy soil with perlite.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718905103/be-agriculture/c2rwgp9xregxs2fesroc.png,-,2024-06-20 17:38:27.218,2024-06-20 17:38:27.218
407,Planting Seeds,2,Planting Seeds,"Choose a sunny location with good air circulation. Plant cactus seeds in well-draining soil mix, barely covering them with a light layer of soil.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718905104/be-agriculture/t0jskiogihuquzqyygzs.png,-,2024-06-20 17:38:27.218,2024-06-20 17:38:27.218
408,Plant Care,3,Cactus Care,"Water sparingly, allowing the soil to dry out completely between waterings.Use a diluted cactus fertilizer once or twice during the growing season.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718905105/be-agriculture/pf7ikq9izvnwkz7ch1sr.png,-,2024-06-20 17:38:27.218,2024-06-20 17:38:27.218
409,Harvest,4,Harvesting Fruit, Harvest cactus fruits or flowers when they are fully developed and vibrant.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718905105/be-agriculture/slmv03ia8xepovsqydkd.png,-,2024-06-20 17:38:27.218,2024-06-20 17:38:27.218
410,Soil Preparation,1,Preparating the Soil, Plant orchids in a well-draining orchid mix or bark chips to mimic their natural epiphytic growing conditions.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718906690/be-agriculture/lla5eepeol70oaqzxepc.png,-,2024-06-20 18:04:55.053,2024-06-20 18:04:55.053
411,Planting Seeds,2,Planting Orchid Seeds,"Start orchid seeds in a sterile, well-draining seed-starting mix. Maintain high humidity and consistent warmth to encourage germination.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718906691/be-agriculture/okm2kx4ea8hg2mh9wdur.png,-,2024-06-20 18:04:55.053,2024-06-20 18:04:55.053
412,Plant Care,3,Orchid Plant Care,"Water orchids thoroughly once a week, allowing excess water to drain completely.Maintain high humidity levels around orchids through regular misting or a humidity tray.Use a balanced orchid fertilizer monthly during active growth phases to support flowering.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718906692/be-agriculture/hc35tjxrhxjjvv5ixzwc.png,-,2024-06-20 18:04:55.053,2024-06-20 18:04:55.053
413,Harvest,4,Harvesting Orchids,Harvest orchid blooms by cutting the flower stems close to the base. Use the blooms for decorative purposes.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718906693/be-agriculture/frazn6qntljzea9wxfrg.png,-,2024-06-20 18:04:55.053,2024-06-20 18:04:55.053
418,Soil Preparation,1,tes,tes,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718954818/be-agriculture/ay3vtjeho7eheiulkna5.png,-,2024-06-21 07:26:59.625,2024-06-21 07:26:59.625
<<<<<<< HEAD
439,Soil Preparation,1,Preparing the Soil,Use fertile soil with good drainage. Incorporate compost to improve soil fertility.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719029192/be-agriculture/ofjcympnuznkdh4bedvk.png,-,2024-06-22 04:06:35.868,2024-06-22 04:06:35.868
440,Planting Seeds,2,Planting Cucumber Seeds,Directly sow cucumber seeds in a sunny location after the danger of frost has passed. Plant seeds 1 cm deep and space them 30 cm apart.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719029193/be-agriculture/j0rtzjkavlbd571fcarw.png,-,2024-06-22 04:06:35.868,2024-06-22 04:06:35.868
441,Plant Care,3,Cucumber Plant Care,Water the plants regularly to maintain soil moisture.Apply nitrogen-rich fertilizer every 3-4 weeks during the growing season.Trim unnecessary branches to stimulate plant growth.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719029193/be-agriculture/xvpbuyvckrkvrhypi4lv.png,-,2024-06-22 04:06:35.868,2024-06-22 04:06:35.868
442,Harvest,4,Harvesting Cucumbers,Harvest cucumbers when they reach the desired size by cutting the stem below the fruit.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719029194/be-agriculture/dloog1q0jhujkiivmlgh.png,-,2024-06-22 04:06:35.868,2024-06-22 04:06:35.868
443,Soil Preparation,1,Preparating the Soil,Use well-draining soil with a pH between 6.0 and 7.5. Incorporate organic matter like compost for nutrients.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719029385/be-agriculture/wvnno9yxynucffvfdno2.png,-,2024-06-22 04:09:49.653,2024-06-22 04:09:49.653
444,Planting Seeds,2,Planting Geranium Seeds,"Start geranium seeds indoors 10-12 weeks before the last frost date. Sow seeds in a seed-starting mix, lightly covering them with soil.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719029386/be-agriculture/bceel0o2adcxc2hyqu7j.png,-,2024-06-22 04:09:49.653,2024-06-22 04:09:49.653
445,Plant Care,3,Geranium Plant Care,"Water geraniums deeply once a week, allowing the soil to dry slightly between watering.Apply a balanced fertilizer every 4-6 weeks during the growing season to promote continuous flowering.Remove spent blooms regularly to encourage new flower production.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719029387/be-agriculture/nw8qaodi8qyoxtbqogau.png,-,2024-06-22 04:09:49.653,2024-06-22 04:09:49.653
446,Harvest,4,Geranium Harvest,Harvest geranium blooms as needed by cutting the stems just above a pair of leaves. Use the harvested flowers in arrangements or as decorative accents.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719029387/be-agriculture/fl78v6dfuuvnbieuakjh.png,-,2024-06-22 04:09:49.653,2024-06-22 04:09:49.653
459,Plant Care,1,Apaya,enaknya apa,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719030175/be-agriculture/fynro1zklmozxgvzn9xv.jpg,-,2024-06-22 04:22:57.716,2024-06-22 04:22:57.716
460,Soil Preparation,1,...,..,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719030229/be-agriculture/vllqzsjaeazryywypxln.jpg,-,2024-06-22 04:23:50.437,2024-06-22 04:23:50.437
461,Soil Preparation,1,Preparing the Garden Bed,Use well-draining soil with a neutral pH. Mix in compost to enrich the soil.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719056553/be-agriculture/bno6wsyy9b0fvjy1na26.png,-,2024-06-22 11:42:36.843,2024-06-22 11:42:36.843
462,Planting Seeds,2,Sowing Basil Seeds,Direct sow basil seeds outdoors after the last frost or start seeds indoors 4 weeks before the last frost.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719056554/be-agriculture/ggrqauw1pynnwp5yebqx.png,-,2024-06-22 11:42:36.843,2024-06-22 11:42:36.843
463,Plant Care,3,Basil Plant Maintenance,"Keep the soil consistently moist, but not waterlogged.  Use a liquid fertilizer every 2-3 weeks.  ",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719056554/be-agriculture/uofi9caac90aonrjgyn3.png,-,2024-06-22 11:42:36.843,2024-06-22 11:42:36.843
464,Harvest,4,Harvesting Basil,"Pinch off leaves as needed, starting from the top of the plant to encourage bushy growth.  ",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719056555/be-agriculture/qmsdbl7gvg6rsiwyqj67.png,-,2024-06-22 11:42:36.843,2024-06-22 11:42:36.843
465,Soil Preparation,1,Preparing the Bed,Ensure the soil is well-draining and slightly alkaline. Amend with sand or gravel if needed.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719056641/be-agriculture/cq47wf6jcwvrohfod5lz.png,-,2024-06-22 11:44:05.137,2024-06-22 11:44:05.137
466,Planting Seeds,2,Planting Lavender Seeds, Sow lavender seeds indoors 8-10 weeks before the last frost. Transplant seedlings to a sunny spot with good air circulation.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719056641/be-agriculture/ef0x0lorhlgozksieppj.png,-,2024-06-22 11:44:05.137,2024-06-22 11:44:05.137
467,Plant Care,3,Caring for Lavender Plants,Water sparingly as lavender prefers dry conditions.  Prune back in the spring to encourage bushy growth and more flowers.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719056642/be-agriculture/leqcqqdwndrhqx0kbcpz.png,-,2024-06-22 11:44:05.137,2024-06-22 11:44:05.137
468,Harvest,4,Harvesting Lavender,Harvest lavender flowers just as the buds open. Cut stems early in the morning after the dew has dried. ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719056643/be-agriculture/v5ylfvp9qeycsble6ble.png,-,2024-06-22 11:44:05.137,2024-06-22 11:44:05.137
